file,date_folder,probe,material,substrate,scan_size_nm,piezo_displacement_nm,setpoint_force,setpoint_unit,force_unit,data_points,z_start_nm,z_end_nm,z_range_nm,min_force,max_force,snap_in_z_nm,has_snap_in
20260409\JJS-50nm-500nm-9nN - NanoScope Analysis.txt,20260409,RTESPA-150,二维cof薄膜,带小孔的氮化硅,50x50,500.0,9.0,nN,nN,512,499.02,0.0,499.02,-120.69,25.424,475.59,Yes
20260415原始数据\linker1-PFPE-OH-10000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,10000.0,100.0,nN,nN,256,9.96,0.0,9.96,-19.002,-9.168,5.51,Yes
20260415原始数据\linker1-PFPE-OH-1000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,-0.0,996.09,19.002,35.392,984.37,No
20260415原始数据\linker1-PFPE-OH-1000nm-3.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,-0.0,996.09,21.686,33.207,988.28,No
20260415原始数据\linker1-PFPE-OH-1000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,-0.0,996.09,20.689,31.71,988.28,No
20260415原始数据\linker1-PFPE-OH-12110nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,12110.0,100.0,nN,nN,256,12.06,-0.0,12.06,-19.596,-9.738,7.52,Yes
20260415原始数据\linker1-PFPE-OH-1500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,19.05,35.439,-0.0,No
20260415原始数据\linker1-PFPE-OH-1500nm-3.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,19.359,34.157,-0.0,No
20260415原始数据\linker1-PFPE-OH-1500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,19.169,33.349,0.01,No
20260415原始数据\linker1-PFPE-OH-1800nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1800.0,100.0,nN,nN,256,1.79,0.0,1.79,16.009,27.743,0.02,No
20260415原始数据\linker1-PFPE-OH-1800nm-3.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1800.0,100.0,nN,nN,256,1.79,0.0,1.79,16.009,32.185,0.01,No
20260415原始数据\linker1-PFPE-OH-1800nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1800.0,100.0,nN,nN,256,1.79,0.0,1.79,15.867,33.159,0.0,No
20260415原始数据\linker1-PFPE-OH-1900nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1900.0,100.0,nN,nN,256,1.89,-0.0,1.89,14.869,25.986,-0.0,No
20260415原始数据\linker1-PFPE-OH-1900nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1900.0,100.0,nN,nN,256,1.89,-0.0,1.89,15.321,26.508,-0.0,No
20260415原始数据\linker1-PFPE-OH-2000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2000.0,100.0,nN,nN,256,1.99,-0.0,1.99,6.865,18.575,-0.0,No
20260415原始数据\linker1-PFPE-OH-2200nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2200.0,100.0,nN,nN,256,2.19,-0.0,2.19,3.824,16.223,-0.0,No
20260415原始数据\linker1-PFPE-OH-2400nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2400.0,100.0,nN,nN,256,2.39,-0.0,2.39,-0.19,13.064,-0.0,No
20260415原始数据\linker1-PFPE-OH-2600nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2600.0,100.0,nN,nN,256,2.59,-0.0,2.59,-3.705,10.261,-0.0,No
20260415原始数据\linker1-PFPE-OH-2800nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2800.0,100.0,nN,nN,256,2.79,-0.0,2.79,-6.769,8.432,0.01,Yes
20260415原始数据\linker1-PFPE-OH-3000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,3000.0,100.0,nN,nN,256,2.99,0.0,2.99,-9.073,6.77,0.0,Yes
20260415原始数据\linker1-PFPE-OH-300nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,300.0,100.0,nN,nN,256,298.83,0.0,298.83,25.416,44.299,287.11,No
20260415原始数据\linker1-PFPE-OH-300nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,300.0,100.0,nN,nN,256,298.83,0.0,298.83,24.18,42.755,287.11,No
20260415原始数据\linker1-PFPE-OH-3500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,3500.0,100.0,nN,nN,256,3.49,0.0,3.49,-11.852,3.064,0.0,Yes
20260415原始数据\linker1-PFPE-OH-4000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,4000.0,100.0,nN,nN,256,3.98,-0.0,3.98,-13.325,-1.211,0.5,Yes
20260415原始数据\linker1-PFPE-OH-5000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,5000.0,100.0,nN,nN,256,3.98,0.0,3.98,-14.536,-2.755,1.19,Yes
20260415原始数据\linker1-PFPE-OH-500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,0.0,498.05,17.791,35.748,486.33,No
20260415原始数据\linker1-PFPE-OH-500nm-3.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,0.0,498.05,17.53,36.698,486.33,No
20260415原始数据\linker1-PFPE-OH-500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,27.767,43.04,488.28,No
20260415原始数据\linker1-PFPE-OH-6000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,6000.0,100.0,nN,nN,256,5.98,0.0,5.98,-16.247,-6.294,0.63,Yes
20260415原始数据\linker1-PFPE-OH-7000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,7000.0,100.0,nN,nN,256,6.97,-0.0,6.97,-17.292,-7.553,0.79,Yes
20260415原始数据\linker1-PFPE-OH-8000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,8000.0,100.0,nN,nN,256,7.97,0.0,7.97,-17.672,-7.482,3.72,Yes
20260415原始数据\linker1-PFPE-OH-9000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,9000.0,100.0,nN,nN,256,8.96,0.0,8.96,-18.503,-8.337,0.95,Yes
20260415原始数据\linker1-nls-1000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,0.0,996.09,19.359,31.734,976.56,No
20260415原始数据\linker1-nls-1000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,0.0,996.09,20.76,30.736,980.47,No
20260415原始数据\linker1-nls-1500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,17.72,30.214,0.01,No
20260415原始数据\linker1-nls-1500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,0.0,1.49,17.696,27.648,0.01,No
20260415原始数据\linker1-nls-2000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2000.0,100.0,nN,nN,256,1.99,-0.0,1.99,11.9,23.658,-0.0,No
20260415原始数据\linker1-nls-2000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2000.0,100.0,nN,nN,256,1.99,-0.0,1.99,12.898,24.727,-0.0,No
20260415原始数据\linker1-nls-500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,21.425,34.561,478.51,No
20260415原始数据\linker1-nls-500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,19.81,35.321,474.61,No
20260415原始数据\linker1-paa-1000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,0.0,996.09,23.848,39.311,968.75,No
20260415原始数据\linker1-paa-1000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,0.0,996.09,21.995,39.762,964.84,No
20260415原始数据\linker1-paa-100nN-500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,0.0,498.05,17.553,170.926,220.7,No
20260415原始数据\linker1-paa-500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,20.404,40.76,462.89,No
20260415原始数据\linker1-paa-500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,18.789,40.665,460.94,No
20260415原始数据\linker2-paa-.1000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,-0.0,996.09,59.762,87.981,175.78,No
20260415原始数据\linker2-paa-.1500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,19.667,52.969,1.08,No
20260415原始数据\linker2-paa-.2000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2000.0,100.0,nN,nN,256,1.99,0.0,1.99,16.318,36.104,0.0,No
20260415原始数据\linker2-paa-.2000nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2000.0,100.0,nN,nN,256,1.49,-0.0,1.49,17.007,44.608,1.15,No
20260415原始数据\linker2-paa-.2500nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2500.0,100.0,nN,nN,256,2.49,0.0,2.49,12.827,30.475,0.0,No
20260415原始数据\linker2-paa-.2500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,2500.0,100.0,nN,nN,256,1.99,0.0,1.99,16.295,33.254,0.0,No
20260415原始数据\linker2-paa-.300nm.-2spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,300.0,100.0,nN,nN,256,298.83,0.0,298.83,82.827,99.762,7.03,No
20260415原始数据\linker2-paa-.300nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,300.0,100.0,nN,nN,256,298.83,0.0,298.83,91.401,112.993,1.17,No
20260415原始数据\linker2-paa-.500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,500.0,100.0,nN,nN,256,498.05,-0.0,498.05,62.993,80.903,-0.0,No
20260415原始数据\linker2-paa-1000nm-2.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1000.0,100.0,nN,nN,256,996.09,-0.0,996.09,58.432,74.988,11.72,No
20260415原始数据\linker2-paa-1500nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,1500.0,100.0,nN,nN,256,1.49,-0.0,1.49,-93.346,23.515,0.88,Yes
20260415原始数据\linker2-paa-150nm.spm - NanoScope Analysis.txt,20260415原始数据,RTESPA-150,二维cof薄膜,铜网,50x50,150.0,100.0,nN,nN,256,149.41,0.0,149.41,128.931,138.1,1.17,No
20260416原始数据\k80-linker1-PFNA-50nm-10000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,10000.0,10.0,uN,nN,256,9.96,0.0,9.96,-0.182,1.175,2.46,No
20260416原始数据\k80-linker1-PFNA-50nm-1000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1000.0,10.0,uN,nN,256,996.09,-0.0,996.09,1.814,2.209,507.81,No
20260416原始数据\k80-linker1-PFNA-50nm-12410nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,12410.0,10.0,uN,nN,256,12.36,-0.0,12.36,-218.417,970.467,-0.0,Yes
20260416原始数据\k80-linker1-PFNA-50nm-2000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,2000.0,10.0,uN,nN,256,1.99,-0.0,1.99,1.474,2.093,-0.0,No
20260416原始数据\k80-linker1-PFNA-50nm-3000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,3000.0,10.0,uN,nN,256,2.99,0.0,2.99,0.813,2.082,0.0,No
20260416原始数据\k80-linker1-PFNA-50nm-4000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,4000.0,10.0,uN,nN,256,3.98,-0.0,3.98,0.285,2.112,-0.0,No
20260416原始数据\k80-linker1-PFNA-50nm-5000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,5000.0,10.0,uN,nN,256,4.98,0.0,4.98,0.166,2.04,1.05,No
20260416原始数据\k80-linker1-PFNA-50nm-500nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,6000.0,10.0,uN,nN,256,498.05,-0.0,498.05,1.855,2.209,472.65,No
20260416原始数据\k80-linker1-PFNA-50nm-6000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,6000.0,10.0,uN,nN,256,5.98,0.0,5.98,0.041,1.944,0.75,No
20260416原始数据\k80-linker1-PFNA-50nm-7000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,7000.0,10.0,uN,nN,256,6.97,-0.0,6.97,-0.094,1.476,-0.0,No
20260416原始数据\k80-linker1-PFNA-50nm-8000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,8000.0,10.0,uN,nN,256,7.97,0.0,7.97,-0.05,1.501,0.62,No
20260416原始数据\k80-linker1-PFNA-50nm-9000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,9000.0,10.0,uN,nN,256,8.96,0.0,8.96,-0.08,1.446,1.58,No
20260416原始数据\k80-linker1-SDBS-50nm-10000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,10000.0,10.0,uN,nN,256,9.96,0.0,9.96,-0.213,1.346,0.0,No
20260416原始数据\k80-linker1-SDBS-50nm-1000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1000.0,10.0,uN,nN,256,996.09,-0.0,996.09,1.266,1.418,992.18,No
20260416原始数据\k80-linker1-SDBS-50nm-12410nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,12410.0,10.0,uN,nN,256,12.36,-0.0,12.36,-0.246,1.194,2.71,No
20260416原始数据\k80-linker1-SDBS-50nm-2000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,2000.0,10.0,uN,nN,256,1.99,-0.0,1.99,1.194,1.758,1.98,No
20260416原始数据\k80-linker1-SDBS-50nm-3000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,3000.0,10.0,uN,nN,256,2.99,0.0,2.99,1.037,1.952,2.98,No
20260416原始数据\k80-linker1-SDBS-50nm-4000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,4000.0,10.0,uN,nN,256,3.98,-0.0,3.98,0.735,1.875,0.02,No
20260416原始数据\k80-linker1-SDBS-50nm-5000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,5000.0,10.0,uN,nN,256,4.98,0.0,4.98,0.359,1.841,0.0,No
20260416原始数据\k80-linker1-SDBS-50nm-500nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,500.0,10.0,uN,nN,256,498.05,-0.0,498.05,1.308,1.371,498.05,No
20260416原始数据\k80-linker1-SDBS-50nm-6000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,6000.0,10.0,uN,nN,256,5.98,0.0,5.98,-0.036,1.792,0.0,No
20260416原始数据\k80-linker1-SDBS-50nm-7000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,7000.0,10.0,uN,nN,256,6.97,-0.0,6.97,-0.133,1.645,0.82,No
20260416原始数据\k80-linker1-SDBS-50nm-8000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,8000.0,10.0,uN,nN,256,7.97,0.0,7.97,-0.086,1.537,1.66,No
20260416原始数据\k80-linker1-SDBS-50nm-9000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,9000.0,10.0,uN,nN,256,8.96,0.0,8.96,-0.293,1.382,0.07,No
20260416原始数据\k80-linker1-paa-50nm-10000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,10000.0,10.0,uN,nN,256,9.96,0.0,9.96,-0.227,2.018,0.98,No
20260416原始数据\k80-linker1-paa-50nm-1000nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1000.0,3.0,uN,nN,256,996.09,-0.0,996.09,5.364,6.334,3.91,No
20260416原始数据\k80-linker1-paa-50nm-12000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,12000.0,10.0,uN,nN,256,11.95,0.0,11.95,-0.227,1.725,3.23,No
20260416原始数据\k80-linker1-paa-50nm-12410nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,12410.0,10.0,uN,nN,256,12.36,-0.0,12.36,-0.271,1.457,0.05,No
20260416原始数据\k80-linker1-paa-50nm-1500nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1500.0,3.0,uN,nN,256,1.49,0.0,1.49,4.803,6.13,0.0,No
20260416原始数据\k80-linker1-paa-50nm-2000nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,2000.0,3.0,uN,nN,256,1.99,-0.0,1.99,3.619,5.673,-0.0,No
20260416原始数据\k80-linker1-paa-50nm-2500nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,2500.0,3.0,uN,nN,256,2.49,0.0,2.49,2.212,5.159,0.0,No
20260416原始数据\k80-linker1-paa-50nm-3000nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,3000.0,3.0,uN,nN,256,2.99,0.0,2.99,0.711,4.269,0.0,No
20260416原始数据\k80-linker1-paa-50nm-3500nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,3500.0,3.0,uN,nN,256,3.49,0.0,3.49,0.467,3.608,0.01,No
20260416原始数据\k80-linker1-paa-50nm-4000nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,4000.0,3.0,uN,nN,256,3.98,-0.0,3.98,0.473,3.475,0.39,No
20260416原始数据\k80-linker1-paa-50nm-4500nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,4500.0,3.0,uN,nN,256,4.48,0.0,4.48,0.351,3.481,0.04,No
20260416原始数据\k80-linker1-paa-50nm-5000nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,5000.0,3.0,uN,nN,256,4.98,0.0,4.98,0.265,3.37,0.0,No
20260416原始数据\k80-linker1-paa-50nm-500nm-3uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,500.0,3.0,uN,nN,256,498.05,-0.0,498.05,5.649,6.141,1.95,No
20260416原始数据\k80-linker1-paa-50nm-6000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,6000.0,10.0,uN,nN,256,5.98,0.0,5.98,0.185,3.146,0.3,No
20260416原始数据\k80-linker1-paa-50nm-7000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,7000.0,10.0,uN,nN,256,6.97,-0.0,6.97,0.097,2.892,0.05,No
20260416原始数据\k80-linker1-paa-50nm-8000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,8000.0,10.0,uN,nN,256,7.97,0.0,7.97,-0.022,2.463,0.19,No
20260416原始数据\k80-linker1-paa-50nm-9000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,9000.0,10.0,uN,nN,256,8.96,0.0,8.96,-0.144,2.273,0.28,No
20260416原始数据\k80-linker2-paa-50nm-1000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1000.0,10.0,uN,nN,256,996.09,-0.0,996.09,6.731,8.867,-0.0,No
20260416原始数据\k80-linker2-paa-50nm-100nm-125.5nN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,100.0,125.5,nN,nN,256,99.61,0.0,99.61,-266.554,-211.675,7.42,Yes
20260416原始数据\k80-linker2-paa-50nm-100nm-125.5nN-2 - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,100.0,125.5,nN,nN,256,99.61,0.0,99.61,-258.714,-207.755,1.95,Yes
20260416原始数据\k80-linker2-paa-50nm-1500nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,1500.0,10.0,uN,nN,256,1.49,0.0,1.49,5.186,8.393,0.0,No
20260416原始数据\k80-linker2-paa-50nm-2000nm-10uN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,2000.0,10.0,uN,nN,256,1.99,-0.0,1.99,3.767,7.879,-0.0,No
20260416原始数据\k80-linker2-paa-50nm-200nm-125.5nN - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,200.0,125.5,nN,nN,256,199.22,0.0,199.22,-227.355,-121.517,2.34,Yes
20260416原始数据\k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,20260416原始数据,DDESP-V2,二维cof薄膜,铜网,50x50,200.0,125.5,nN,nN,256,199.22,0.0,199.22,-184.236,-82.318,19.53,Yes
